web-scraper-order,web-scraper-start-url,linktopage-href,title,age,readytoleave,dec,num_pics,price,location
1588698347-86,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/tabby-kittens/1372078518,Tabby Kittens,8 weeks,Now,"deflead

dewormed

litter trained

loves cuddles

8 weeks old

2 girls

1 boy

bengal cross

father is bengal

small kittens

dog friendly

£400 each",1 of 9,£400.00 ,"Kilburn, London"
1588698333-80,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/beautiful-kittens-looking-for-new-home/1372043722,Beautiful kittens looking for new home,8 weeks,Now,"Hello, I have kittens who are looking for new homes. All of them are dewormed and defleated. They can use cat litter tray



Black and white boy - £ 300

Ginger boy - £ 350

Tabby boy - £ 350

Calico Girls - £ 350



I can deliver if not too far",1 of 1,£350.00 ,"Wimbledon, London"
1588698283-56,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/two-beautiful-maine-coone-x-kittens-tabby-is-reserved-/1371665001,Two beautiful Maine coone x kittens *TABBY IS RESERVED*,7 weeks,in 1 week,Two beautiful Maine coone x female kittens 6 weeks old litter trained and on solid food! Really fluffy and playful ! Ready to leave in under 2 weeks can be held for a deposit via bank transfer mother can be seen in pictures,1 of 4,£450.00 ,"Angel, London"
1588698271-51,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/two-adorable-full-tabby-kittens-looking-for-loving-home-starter-kit-food-and-litter-/1370419715,TWO ADORABLE FULL TABBY KITTENS LOOKING FOR LOVING HOME + STARTER KIT (FOOD AND LITTER),10 weeks,Now,"Cute tabby mix kittens ready for a lovely home - £320 for the full tabby ones - two full tabby female ready to be rehomed



Both the mother and father are tabby kittens

The kittens are very playful and great with people and kids

the kittens are being litter trained and currently eating kitten food



I CAN PROVIDE A KIT WITH SOME LITTER AND FOOD

Please feel free to contact me for more information and pictures",1 of 5,£350.00 ,"Harrow, London"
1588698349-87,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/kittens-for-sale-/1372088403,Kittens for sale,8 weeks,Now,"Deflead dewormed litter trained 
Healthy and eating wet dry kitten food 
Male 
Female 
400 each",1 of 1,£400.00 ,"Dalston, London"
1588698291-60,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/-all-kittens-reserved-/1371755046,!!ALL KITTENS RESERVED!!,3 weeks,in 5 weeks,"ALL KITTENS RESERVED 
ALL KITTENS RESERVED 
ALL KITTENS RESERVED 


Black and white - £250 (MALE) (RESERVED)
1 all black male - £250 (RESERVED)
Black and ginger - £250 (FEMALE) (RESERVED) 
Another all black male - (RESERVED)",1 of 9,£250.00 ,"Willesden, London"
1588698198-17,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/rare-ginger-bengal-cross-female-kitten/1371678839,Rare Ginger Bengal Cross Female Kitten,4 weeks,in 4 weeks,"Her Mother is a beautiful Traditional Bengal Stripe & her Father is a gorgeous Ginger Tabby.

If you want to give her a loving home please read the entire listing below and reach out to us accordingly.

We will request a deposit of £100 on the day of reservation to ensure our kitten does not miss out on another potential loving home in the mean time. The further £300 will be payable upon collection when the kittens reach 8 weeks old and can leave Mum.

We litter train, wean & flea treat our kittens on the day of collection. We will also give you some of the meat & kibbles that we feed the kittens to help them acclimatise to their new home, surroundings & smells. We also recommend the food that we use but understand there is a lot of choice out there.

Please get your kittens 1st jabs & chip implant done at your earliest opportunity - we recommend Pets at Home.

Our kittens will be available to loving, well prepared homes & families only, please contact us by phone to discuss the kittens potential new home and so we can get to know one another a little.

We are fanatic about cats & are always on hand to give any advice, help or just check in (which we hugely appreciate). Knowing the welfare of the kittens & hearing the joy that they bring to family’s is wonderful for us.

The kittens will be available to collect on or after the 31st of May. We will speak with you in regard to preparing for your kitten and the collection procedure we have in place due to the current goings on, along with a check list of things we would like to ensure you have prior to bringing your kitten home.

Wishing you all health & happiness,

__ Stefan & Mandy __",1 of 6,£400.00 ,"Chelmsford, Essex"
1588698351-88,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/5-beautiful-kittens-all-are-now-reserved-/1372084854,5 beautiful kittens ALL ARE NOW RESERVED!!!!,2 weeks,in 6 weeks,"Our family has for sale 5 beautiful baby kittens ____who are looking for their forever homes with that special someone or family _.



The mother cat is our family cat and she's doing a super great _, she is a 3 year old tortoise shell, mainly white with ginger and black patches.



Baby kitten no.1 a pure tabby girl. She is a big girl with no obvious markings just pure tabby ____.



Baby kitten no.2 a tabby and white female with a ginger cheek, two back ginger legs and ginger pieces through her fur. She truly will be a stunner ____.



Baby kitten no.3 a tabby girl with a ginger face. Like her mother who is a tortoise shell has ginger on her too. Stunner ____



Baby kitten no.4 a tortoise shell girl. She looks very similar to her mother and is a chubby one____.



Baby kitten no.5 last but not least our only male kitten, he is definately the biggest I would say and he is absolutely beautiful ____. He is a tabby with white chest and white paws with a little white tip on his tail.



Given the current situation I'm listing them now 6 weeks early to give the kittens new home a chance to prepare for their arrival in 6 weeks.



I am selling them for £150.00 each but as they are so small i will be asking for £20 deposit until they are ready to leave. (Non refundable).



If any special someone or special family would like to give one of our babies a forever home feel free to contact us. We love these kittens and only want the best for them so only genuine people reply to our ad. Many thanks _",1 of 7,£150.00 ,"Northolt, London"
1588698308-68,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/fluffy-kittens-8-weeks-old/1371897118,Fluffy kittens 8 weeks old,8 weeks,Now,"Four fluffy kittens. Two pure white and two black and white.

Two boys (on 1st photo and pure white)

Two girls (on 2nd photo and pure white)

8 weeks old, ready to go to new homes

Litter trained, eat wet and dry food.

Deflead and dewormed.

Mum and dad are Russian White X Maine Coon.

200£ each.",1 of 7,£200.00 ,"Croydon, London"
1588698256-44,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/kittens-all-reserved/1371102656,Kittens ALL RESERVED,4 weeks,in 4 weeks,"Deposit secures kitten if u decide to change your mind the deposit is non refundable, 
Black and white 2 maybe fluffy as mum is rather fluffy, sex has not been checked yet but its looks like 2 boys 2 girls but will double check in a weeks or so.
ALL KITTENS ARE NOW RESRVED",1 of 4,£100.00 ,"Orpington, London"
